name,appid,categories,genres,metacritic
The Pillage,715210,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Action', 'Casual', 'Indie']",'metacritic'
Fire and Fury: English Civil War,715270,['Single-player'],['Strategy'],'metacritic'
Ancient Battle: Hannibal,715280,['Single-player'],['Strategy'],'metacritic'
SEGFAULT,715290,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']","['Action', 'Adventure', 'Indie']",'metacritic'
Urban Rivals,715310,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']","['Action', 'Free to Play', 'Massively Multiplayer', 'Strategy']",'metacritic'
Legend of Egypt - Pharaohs Garden,715320,"['Single-player', 'Steam Cloud']",['Casual'],'metacritic'
Deadland VR,715350,['Single-player'],"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",'metacritic'
Fidget Spinner Editor,715370,['Single-player'],"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Sports', 'Strategy']",'metacritic'
Those Who Remain,715380,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","['Adventure', 'Indie']","{'score': 48, 'url': 'https://www.metacritic.com/game/pc/those-who-remain?ftag=MCD-06-10aaa1f'}"
Frozen Flame,715400,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'In-App Purchases']","['Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",'metacritic'
Signs Of Darkness,715410,"['Single-player', 'Partial Controller Support']","['Violent', 'Gore', 'Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",'metacritic'
Going Astray,715430,"['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Action', 'Indie']",'metacritic'
Choice of the Cat,715440,"['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']","['Adventure', 'Indie', 'RPG']",'metacritic'
Disparity,715460,"['Single-player', 'Full controller support']","['Indie', 'Strategy']",'metacritic'
Rocks and Rockets,715470,"['Single-player', 'Steam Achievements']","['Adventure', 'Indie']",'metacritic'
Starship EVO,711980,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Partial Controller Support']","['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']",'metacritic'
Elise the Devil,711990,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']","['Adventure', 'Indie', 'RPG']",'metacritic'
Elder Chaos,712000,"['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","['Indie', 'Strategy']",'metacritic'
Chevo Lurker: Exodus,712010,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'RPG']",'metacritic'
Otaku's Fantasy,712050,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']","['Adventure', 'Casual', 'Indie']",'metacritic'
M.I.A.,712060,['Single-player'],'genres','metacritic'
Lantern of Worlds,712070,['Single-player'],"['Adventure', 'RPG']",'metacritic'
Don't Feed,712090,"['Single-player', 'Steam Achievements']","['Action', 'Casual', 'Indie', 'Strategy', 'Early Access']",'metacritic'
Rhythmica,712120,['Single-player'],"['Action', 'Early Access']",'metacritic'
TankVR,712150,"['Single-player', 'Steam Achievements', 'Stats']","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']",'metacritic'
Mugsters,712180,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards', 'Remote Play Together']","['Action', 'Indie']",'metacritic'
Genesis Alpha One Deluxe Edition,712190,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV']","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']","{'score': 67, 'url': 'https://www.metacritic.com/game/pc/genesis-alpha-one?ftag=MCD-06-10aaa1f'}"
Anti Gravity Warriors VR,711390,['Single-player'],"['Action', 'Adventure', 'Free to Play', 'Indie']",'metacritic'
Miss Fisher and the Deathly Maze,711430,['Single-player'],"['Adventure', 'Casual', 'Indie']",'metacritic'
Mortars VR,711440,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer']","['Action', 'Casual', 'Indie', 'Strategy', 'Early Access']",'metacritic'
Orb The Ball,711450,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
Duel Survival,711460,['Single-player'],"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",'metacritic'
Room 42,711480,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Action', 'Adventure']",'metacritic'
Dr. Fizzgigious Fantabulous Carbon Dating Simulacrum,711500,"['Single-player', 'Steam Achievements']",['Indie'],'metacritic'
Butterfly Moment,711530,['Single-player'],['Casual'],'metacritic'
Lonely Mountains: Downhill,711540,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Indie', 'Racing', 'Sports']","{'score': 80, 'url': 'https://www.metacritic.com/game/pc/lonely-mountains-downhill?ftag=MCD-06-10aaa1f'}"
Glo,711550,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
Stone Flower,711560,"['Single-player', 'Steam Achievements']","['Action', 'Indie']",'metacritic'
Epic Battle Simulator 2,711570,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer']","['Violent', 'Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']",'metacritic'
The Final Frontier,711590,"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'Indie', 'Strategy']",'metacritic'
Dragon Orb,711600,"['Single-player', 'Stats']","['Action', 'Casual', 'Indie', 'Strategy']",'metacritic'
Playerless: One Button Adventure,711610,"['Single-player', 'Steam Achievements', 'Full controller support']","['Adventure', 'Casual', 'Indie']",'metacritic'
Eveslan,711630,['Single-player'],['Casual'],'metacritic'
CHUCHEL,711660,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure', 'Casual', 'Indie']","{'score': 81, 'url': 'https://www.metacritic.com/game/pc/chuchel?ftag=MCD-06-10aaa1f'}"
Cognizer,711690,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']","['Casual', 'Free to Play', 'Indie']",'metacritic'
DIE,711700,"['Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Partial Controller Support', 'Remote Play Together']","['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer']",'metacritic'
RedEyes 赤瞳之勋,711710,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Commentary available']","['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",'metacritic'
Fade Away,711720,"['Single-player', 'Full controller support']","['Adventure', 'Casual', 'Indie']",'metacritic'
KENDAMVR - Virtual Reality Kendama,710990,['Single-player'],"['Casual', 'Indie', 'Simulation', 'Sports']",'metacritic'
Ancient Tower,711000,"['Single-player', 'In-App Purchases']","['Action', 'Indie', 'Strategy']",'metacritic'
Corrupt,711010,"['Single-player', 'Partial Controller Support']","['Adventure', 'Casual', 'Indie', 'Simulation', 'Sports', 'Strategy']",'metacritic'
Walking Heavy,711050,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Violent', 'Action', 'Indie', 'RPG', 'Strategy']",'metacritic'
Kim Jong-Boom,711070,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Casual', 'Indie']",'metacritic'
God of Light: Remastered,711130,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV']","['Casual', 'Indie']",'metacritic'
Forsaken Generation,711140,"['Single-player', 'Partial Controller Support']",['RPG'],'metacritic'
Brick Breaker Ultimate,711150,['Single-player'],['Indie'],'metacritic'
Color Sudoku,711190,['Single-player'],"['Casual', 'Indie']",'metacritic'
Code World,708190,['Single-player'],['Indie'],'metacritic'
Fantasization,708200,['Single-player'],"['RPG', 'Strategy', 'Early Access']",'metacritic'
Lava Rolling Kid,708250,"['Single-player', 'Full controller support']","['Adventure', 'Casual', 'Indie']",'metacritic'
Text Wormhole,708260,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards', 'Remote Play Together']","['Action', 'Casual', 'Indie']",'metacritic'
Bobbi_Cities,708280,['Single-player'],"['Action', 'Adventure', 'Casual', 'Strategy']",'metacritic'
Fluffy Friends,708300,"['Single-player', 'Steam Achievements']","['Casual', 'Indie']",'metacritic'
Infinite Gravity,708310,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure', 'Indie', 'RPG', 'Simulation', 'Early Access']",'metacritic'
Shark Simulator,708340,"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'Casual', 'Indie', 'Simulation']",'metacritic'
VR Racket Ball,708360,['Single-player'],['Sports'],'metacritic'
Reboant,708370,['Single-player'],"['Violent', 'Gore', 'Action', 'Adventure']",'metacritic'
Broken Ground,708420,"['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'In-App Purchases', 'Stats']","['Action', 'Free to Play', 'Indie', 'Strategy']",'metacritic'
Kamikaze Cube,708430,"['Single-player', 'Steam Achievements']","['Adventure', 'Indie']",'metacritic'
Pembrey,708450,"['Single-player', 'Full controller support']","['Action', 'Adventure', 'Indie', 'RPG']",'metacritic'
The Promethium Effect - The Idle Clicker MMO,708510,"['Single-player', 'Multi-player', 'MMO', 'In-App Purchases']","['Action', 'Casual', 'Free to Play', 'Indie', 'Massively Multiplayer']",'metacritic'
The Exorcist: Legion VR - Chapter 1: First Rites,708580,"['Single-player', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud']","['Action', 'Adventure', 'Casual', 'Simulation']",'metacritic'
Battlemaster,708590,['Single-player'],"['Action', 'Adventure', 'Strategy']",'metacritic'
Slapshot,707680,"['Multi-player', 'PvP', 'Online PvP', 'Partial Controller Support']","['Free to Play', 'Indie', 'Sports']",'metacritic'
Ragna Maya,707720,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",'metacritic'
DrumSim,707750,['Single-player'],"['Casual', 'Simulation']",'metacritic'
Tactics 2: War,707770,['Single-player'],"['Action', 'Simulation', 'Strategy']",'metacritic'
Jigsaw Puzzles,707850,['Single-player'],"['Adventure', 'Casual', 'Indie', 'Strategy']",'metacritic'
